"pdes","name","H","a","e","i","om","w","ma"
5189,,17.84,1.552,0.4782,3.58,135.05,159.96,101.62
5324,Lyapunov,15.35,2.979,0.6063,19.66,352.02,321.18,178.69
5332,Davidaguilar,14.96,2.163,0.4556,25.52,142.76,306.09,103.48
5370,Taranis,15.23,3.318,0.6370,19.17,177.78,161.28,156.07
5381,Sekhmet,16.72,0.9474,0.2964,48.97,58.53,37.43,266.62
5496,,16.15,2.437,0.6342,68.02,101.02,117.92,299.22
5587,,13.89,2.401,0.5443,18.04,189.28,87.61,209.58
5590,,19.91,0.9863,0.2801,14.18,216.25,34.49,68.33
5604,,17.38,0.93,0.4065,4.70,311.94,82.77,349.65
5620,Jasonwheeler,17.09,2.159,0.4227,7.87,128.64,153.74,56.42
5626,Melissabrucker,14.33,2.195,0.4545,3.85,173.08,231.90,321.24
5645,,17.23,1.355,0.3873,13.51,45.70,48.28,54.55
5646,,15.51,2.144,0.4358,7.91,14.07,335.82,80.51
5653,Camarillo,16.22,1.794,0.3044,6.87,9.88,122.65,227.98
5660,,15.38,1.786,0.7620,38.14,302.11,127.06,163.32
5693,,16.78,1.271,0.5851,5.06,96.98,258.98,118.41
5731,Zeus,15.47,2.265,0.6524,11.20,280.59,218.44,281.87
5751,Zao,14.94,2.101,0.4253,16.07,121.63,25.44,23.79
5786,Talos,17.15,1.082,0.8268,23.22,161.28,8.39,268.09
5797,Bivoj,18.89,1.894,0.4443,4.19,298.91,168.66,220.58
5828,,15.96,1.698,0.6949,30.18,125.34,152.87,235.61
5836,,14.99,2.439,0.5383,7.93,238.59,78.15,162.94
5863,Tara,15.84,2.221,0.5073,19.51,168.68,115.72,285.95
5869,Tanith,17.22,1.812,0.3214,17.92,227.84,230.86,34.00
5879,Almeria,17.61,1.625,0.2891,21.58,145.82,355.79,113.52
6037,,18.86,1.272,0.4996,3.51,182.15,242.36,164.67
6047,,17.84,1.455,0.3521,23.47,6.06,103.82,107.15
6050,Miwablock,14.94,2.202,0.4372,6.41,88.15,285.00,153.91
6053,,15.10,2.147,0.5284,21.58,318.22,74.95,207.37
6063,Jason,16.02,2.22,0.7625,4.96,169.01,337.63,219.06
6178,,15.71,2.814,0.5848,4.31,64.48,127.47,138.36
6239,Minos,18.59,1.151,0.4125,3.94,344.48,239.78,183.78
6455,,14.08,2.24,0.5729,37.34,26.89,262.74,347.71
6456,Golombek,16.06,2.193,0.4088,8.22,313.56,347.16,96.46
6489,Golevka,19.22,2.477,0.6188,2.26,208.71,69.53,252.42
6491,,18.72,2.504,0.5921,6.15,299.98,326.21,240.15
6569,Ondaatje,16.63,1.626,0.2207,22.64,111.45,167.39,219.08
6611,,16.82,1.696,0.4845,8.70,230.76,281.61,133.51
7025,,18.08,1.476,0.3150,12.61,146.59,323.48,234.62
7088,Ishtar,16.84,1.981,0.3903,8.30,102.61,354.78,53.18
7092,Cadmus,15.12,2.545,0.6937,17.79,56.70,94.78,127.61
7236,,18.32,2.722,0.5637,16.69,307.58,339.07,193.78
7335,,17.70,1.773,0.4845,15.16,61.26,232.34,156.19
7336,Saunders,18.80,2.306,0.4820,7.20,174.42,181.55,118.35
7341,,16.96,1.842,0.5061,5.41,294.72,173.51,195.60
7350,,17.16,1.356,0.3912,7.26,133.04,336.71,73.44
7358,Oze,14.72,2.198,0.5024,4.66,265.41,92.28,112.71
7474,,18.11,1.566,0.2921,7.09,88.60,275.64,330.81
7480,Norwan,17.24,1.568,0.3169,9.45,124.36,256.87,299.02
7482,,16.58,1.349,0.3294,33.47,117.85,47.49,138.26
7753,,18.01,1.467,0.4816,3.12,73.39,280.06,317.69
7822,,17.34,1.123,0.1646,37.12,156.84,249.46,153.76
7839,,17.83,2.165,0.5186,27.12,102.50,228.30,291.79
7888,,15.19,2.439,0.6632,26.08,165.87,323.04,127.65
7889,,15.24,1.262,0.3463,36.91,111.26,349.20,255.30
