"pdes","name","H","a","e","i","om","w","ma"
"2009 WZ53",,24.20,1.137,0.2419,32.69,61.58,111.57,275.91
"2009 WA54",,26.80,1.577,0.3808,6.90,245.05,150.39,11.41
"2009 WB54",,26.40,1.37,0.3572,18.94,61.61,300.29,22.77
"2009 WC54",,24.31,0.9019,0.2315,17.94,244.01,358.33,57.68
"2009 WD54",,28.50,0.8179,0.2957,3.02,61.41,211.10,129.12
"2009 WF54",,25.80,1.438,0.3079,3.28,240.64,128.34,28.12
"2009 WG104",,20.20,1.686,0.3053,15.71,261.87,103.63,136.00
"2009 WH104",,21.10,2.581,0.5536,16.51,242.89,123.28,321.22
"2009 WW104",,22.50,1.527,0.4621,7.06,254.60,84.86,202.59
"2009 WX104",,26.00,1.713,0.4474,17.55,242.15,134.17,16.80
"2009 WY104",,25.00,0.9955,0.2234,26.80,61.26,126.76,255.86
"2009 WA105",,24.00,2.54,0.5908,7.95,58.05,8.25,344.32
"2009 WB105",,23.50,0.8255,0.2525,38.40,242.59,347.44,314.74
"2009 WM105",,23.00,0.9,0.1567,9.24,45.58,198.42,80.64
"2009 WN105",,22.40,2.615,0.5471,13.59,74.69,36.72,268.26
"2009 WC106",,25.50,1.083,0.1782,5.35,243.01,257.79,300.29
"2009 WE106",,27.20,1.971,0.5026,4.39,66.89,24.26,352.01
"2009 WG106",,25.50,1.415,0.3132,2.40,252.80,149.60,189.64
"2009 WH106",,22.60,2.488,0.6202,2.91,277.98,99.01,34.26
"2009 WJ106",,25.50,1.368,0.6450,1.12,81.64,231.92,34.09
"2009 WK106",,22.40,1.801,0.4016,24.49,70.16,287.14,30.78
"2009 WN106",,24.80,1.473,0.3158,11.41,62.03,24.54,350.22
"2009 WP106",,25.20,1.395,0.2776,9.86,241.22,198.29,243.12
"2009 WQ106",,24.50,1.306,0.1827,23.29,68.89,28.37,338.38
"2009 WM139",,18.81,2.39,0.5022,20.79,127.24,265.55,121.00
"2009 WE253",,17.93,2.592,0.5501,11.94,283.52,105.81,318.26
"2009 XD",,18.78,2.451,0.6732,31.45,255.87,269.25,39.58
"2009 XV",,21.00,2.568,0.6872,3.34,44.51,327.13,325.29
"2009 XQ1",,22.33,1.079,0.2969,17.78,256.74,318.59,331.54
"2009 XR1",,29.20,1.629,0.4074,0.47,258.00,208.42,349.01
"2009 XV1",,22.38,1.718,0.6623,19.55,80.62,255.15,56.64
"2009 XA2",,23.20,1.573,0.4584,26.63,255.89,107.73,30.64
"2009 XB2",,20.46,1.673,0.3447,11.94,99.36,301.39,155.86
"2009 XO2",,23.50,1.935,0.4882,12.62,91.08,15.60,323.18
"2009 XP2",,25.20,1.215,0.1986,9.25,79.85,325.85,352.04
"2009 XQ2",,25.20,1.169,0.5659,6.76,271.17,282.48,315.23
"2009 XT6",,20.36,2.18,0.7674,5.74,264.90,82.02,358.40
"2009 XZ6",,26.20,1.222,0.2017,6.47,85.07,326.90,306.45
"2009 XP7",,24.00,1.671,0.3874,12.14,264.41,148.32,145.48
"2009 XH8",,23.20,2.067,0.4783,4.92,79.26,1.62,129.48
"2009 XK8",,25.10,2.489,0.6158,2.77,106.88,300.86,7.01
"2009 XL8",,22.60,1.239,0.4801,13.69,270.15,283.42,148.97
"2009 YA",,24.80,2.359,0.5772,28.16,84.69,38.16,351.11
"2009 YF",,24.70,0.9352,0.1215,1.53,87.48,193.59,16.87
"2009 YP",,24.00,0.8198,0.4247,10.00,86.01,203.06,141.00
"2009 YQ",,20.46,1.998,0.7065,8.51,263.04,312.16,201.23
"2009 YR",,28.00,0.9419,0.1101,0.70,87.20,128.05,29.77
"2009 YS",,25.30,1.193,0.1798,6.75,81.40,338.89,101.28
"2009 YT6",,21.18,1.662,0.4909,22.13,72.10,100.42,111.43
"2009 YU6",,21.40,2.453,0.6304,12.17,91.61,295.09,68.08
"2009 YV6",,20.86,1.448,0.2573,13.93,269.63,299.20,312.54
"2010 AF",,25.00,0.9621,0.2978,23.60,105.22,242.86,20.81
"2010 AJ",,20.16,2.836,0.6028,1.33,232.88,176.99,128.89
"2010 AL",,22.60,1.748,0.3975,9.44,110.38,34.26,298.35
"2010 AR1",,25.80,1.526,0.3711,0.56,202.49,227.21,168.49
"2010 AK2",,19.00,2.149,0.7128,45.25,291.08,309.72,325.88
"2010 AL2",,26.70,1.757,0.4316,7.53,106.18,20.65,353.39
"2010 AM2",,23.70,1.468,0.5178,1.28,45.51,323.69,39.34
"2010 AN2",,22.19,1.679,0.4993,8.47,291.07,270.91,66.79
"2010 AO2",,22.42,1.012,0.3380,19.58,289.91,323.64,94.06
"2010 AB3",,23.30,2.697,0.6122,2.25,296.37,143.11,6.10
"2010 AC3",,22.50,1.722,0.3571,23.95,281.33,137.23,22.58
"2010 AD3",,24.00,2.956,0.6319,4.48,277.67,209.72,42.32
"2010 AE3",,23.70,1.882,0.5585,10.30,114.82,289.59,18.64
"2010 AF3",,26.12,1.016,0.1236,11.82,285.62,290.03,80.99
"2010 AG3",,27.50,1.372,0.2812,2.45,109.32,31.75,300.47
"2010 AH3",,26.30,1.661,0.4248,2.00,100.73,325.66,17.55
"2010 AJ3",,24.50,1.226,0.3070,16.93,109.98,291.31,288.45
"2010 AE30",,23.60,1.268,0.4168,5.97,279.36,278.42,356.30
"2010 AF30",,21.73,1.325,0.3717,3.06,62.39,162.92,69.44
"2010 AG30",,27.10,2.261,0.6947,2.09,103.58,84.62,346.53
"2010 AJ30",,22.70,0.8113,0.3024,7.57,303.36,350.83,63.34
"2010 AL30",,27.20,1.046,0.3076,3.83,112.34,97.82,232.46
"2010 AE40",,23.90,1.865,0.4530,21.43,294.58,155.31,8.53
"2010 AF40",,25.00,1.238,0.4644,4.30,119.16,93.25,134.79
"2010 AG40",,22.01,1.754,0.6090,2.02,21.54,183.89,269.24
"2010 AL60",,22.29,1.229,0.1607,16.16,108.13,339.83,242.06
"2010 AM60",,23.73,2.404,0.5727,11.27,113.89,336.09,89.91
"2010 AN60",,26.90,2.001,0.5737,4.55,297.59,123.36,13.63
"2010 AN61",,27.00,1.156,0.1319,3.61,116.36,8.71,255.51
"2010 AG79",,20.04,2.897,0.5818,33.03,50.17,13.83,79.76
"2010 AW108",,21.55,1.432,0.2804,11.00,55.68,75.10,338.85
"2010 BC",,22.20,1.935,0.5703,9.55,120.74,60.94,299.67
"2010 BQ",,20.20,2.331,0.5474,37.08,302.79,148.56,170.52
"2010 BG2",,19.93,3.405,0.9073,42.81,128.08,238.95,195.92
"2010 BH2",,19.61,2.353,0.4613,24.58,108.08,45.82,126.14
"2010 BU2",,24.50,2.402,0.5858,3.16,123.68,13.16,88.53
"2010 BC3",,20.50,3.18,0.6544,4.85,359.18,154.96,281.34
"2010 BT3",,21.40,2.582,0.5433,13.73,307.97,151.21,299.89
"2010 BZ4",,22.40,2.745,0.6377,9.26,90.29,60.34,154.64
"2010 BG5",,24.00,1.472,0.3867,6.60,318.69,216.82,287.65
"2010 BO127",,18.65,2.709,0.6537,13.74,2.70,258.56,342.23
"2010 BV132",,21.48,1.228,0.1797,17.28,255.00,186.55,269.44
"2010 CA",,24.30,1.318,0.4599,9.90,134.47,93.19,113.59
"2010 CL",,25.00,1.569,0.3891,18.25,315.99,136.23,19.88
"2010 CN",,23.40,1.39,0.2240,10.66,317.85,212.49,206.65
"2010 CT",,20.25,0.888,0.6577,19.76,176.01,104.37,237.55
"2010 CJ1",,24.22,1.565,0.4950,4.09,138.17,281.79,30.74
"2010 CK1",,24.00,1.146,0.2153,27.27,141.46,77.89,306.54
"2010 CM1",,25.20,2.035,0.5179,5.12,140.71,309.48,15.65
"2010 CR5",,19.76,3.033,0.8201,5.64,323.34,49.38,23.60
"2010 CH18",,18.98,2.603,0.5722,27.18,49.17,109.89,261.84
"2010 CJ18",,26.80,1.198,0.2601,7.79,148.64,63.52,328.69
"2010 CL18",,18.25,2.679,0.5627,18.28,160.14,30.18,206.22
"2010 CB19",,24.50,1.026,0.3102,6.00,320.44,76.69,130.79
"2010 CC19",,22.46,1.1,0.7513,46.17,144.18,138.39,315.85
"2010 CE19",,25.20,1.938,0.4830,7.59,143.13,326.58,12.25
"2010 CH19",,22.22,1.72,0.5076,10.22,325.11,80.66,40.60
"2010 CK19",,27.90,0.9869,0.1500,2.26,328.50,278.97,304.26
"2010 CM19",,25.00,1.449,0.3155,4.31,145.88,353.05,8.40
"2010 CN19",,26.30,1.017,0.2838,15.77,145.13,254.77,73.08
"2010 CO19",,25.70,1.388,0.2586,9.78,323.83,208.11,345.08
"2010 CP19",,25.90,1.187,0.1479,13.98,145.32,27.24,342.08
"2010 CQ19",,27.10,2.81,0.6464,0.16,211.45,271.70,4.18
"2010 CR19",,26.40,1.362,0.2570,25.11,324.95,219.71,336.97
"2010 CS19",,28.00,1.739,0.4406,4.18,143.57,340.55,322.27
"2010 CN44",,19.72,2.867,0.6713,3.86,188.73,304.00,95.09
"2010 CO44",,24.60,1.07,0.2307,6.18,327.43,73.82,161.23
"2010 CP44",,25.70,2.093,0.5838,5.13,320.53,245.44,345.31
"2010 CA55",,22.20,2.337,0.7131,55.03,106.63,302.79,18.72
"2010 CB55",,22.69,1.133,0.1480,25.92,144.60,108.49,291.56
"2010 CC55",,22.44,1.546,0.4689,6.78,70.55,18.25,100.32
"2010 CD55",,23.36,1.024,0.2013,5.93,326.79,279.38,357.75
"2010 CE55",,22.20,1.29,0.2205,2.53,191.89,58.69,190.53
"2010 CF55",,21.68,1.9,0.7612,5.15,311.51,321.84,331.86
"2010 CP140",,19.44,1.9,0.5384,14.47,271.77,189.96,26.96
"2010 CN141",,22.40,1.517,0.3993,23.80,37.87,22.05,193.26
"2010 CJ171",,21.08,1.996,0.4910,7.38,147.18,99.80,174.93
"2010 CN178",,21.13,1.882,0.3652,8.38,322.88,241.51,5.71
"2010 CV180",,18.96,3.068,0.6043,18.23,336.00,242.76,318.69
"2010 CW180",,20.07,2.399,0.4698,21.98,353.82,114.88,102.16
"2010 CJ188",,21.14,1.538,0.3354,22.16,103.99,14.33,19.40
"2010 DF",,24.50,1.167,0.0435,20.89,324.35,203.64,339.59
"2010 DG",,24.80,1.625,0.3268,13.88,146.03,20.70,350.04
"2010 DJ",,26.53,1.206,0.1354,0.23,3.21,106.65,348.64
"2010 DK",,22.90,1.872,0.3081,22.05,146.26,331.49,15.92
"2010 DL",,27.00,1.353,0.3138,2.57,333.65,113.68,33.12
"2010 DN",,20.90,2.572,0.5320,26.93,149.34,288.60,317.75
"2010 DO",,21.66,1.613,0.7456,11.95,154.24,117.05,224.23
"2010 DE1",,23.96,1.499,0.2124,23.17,145.00,356.32,4.15
"2010 DG1",,24.46,1.932,0.6523,1.52,314.37,105.38,21.59
"2010 DJ1",,26.90,2.242,0.7080,5.51,329.50,261.78,235.20
"2010 DN1",,18.92,2.226,0.4851,21.39,287.27,248.31,241.68
"2010 DT1",,23.82,0.9868,0.4647,25.76,324.78,46.59,84.72
"2010 DU1",,26.50,1.691,0.5407,3.71,147.83,74.26,337.66
"2010 DX1",,21.61,2.593,0.7048,20.25,333.34,102.43,292.27
"2010 DY1",,25.80,2.324,0.5621,8.05,144.87,13.52,358.26
"2010 DZ1",,25.60,1.474,0.3092,16.29,331.54,180.31,288.26
"2010 DE2",,26.80,1.547,0.3582,4.71,336.83,187.72,60.89
"2010 DM21",,20.26,2.862,0.6574,21.15,178.00,263.20,99.45
"2010 DB34",,19.47,1.698,0.2910,25.79,188.74,22.34,10.79
"2010 DK34",,20.40,2.779,0.7653,27.41,91.11,164.08,350.68
"2010 DJ41",,18.40,2.656,0.7653,9.28,44.27,341.04,249.66
"2010 DH56",,20.31,2.236,0.5677,33.66,285.70,267.02,234.58
"2010 DG77",,20.32,2.742,0.6501,16.73,290.02,196.11,5.05
"2010 DH77",,21.06,3.267,0.7084,34.33,305.23,236.58,231.31
"2010 DJ77",,21.59,0.9545,0.2106,24.75,286.71,103.79,70.22
"2010 ES4",,,1.534,0.1702,25.13,102.88,184.99,183.10
"2010 EX11",,24.11,0.9562,0.1096,9.75,3.91,42.81,38.43
"2010 ER12",,21.04,2.059,0.4290,36.50,45.06,326.51,59.42
"2010 ES12",,25.70,2.421,0.6548,2.05,158.52,312.45,12.07
"2010 EF21",,18.47,2.418,0.7217,10.69,298.95,145.78,72.32
"2010 EG21",,24.50,0.8441,0.2266,9.70,168.55,186.42,256.56
"2010 EB43",,22.33,1.352,0.2185,25.44,166.02,323.58,23.49
"2010 EC43",,23.00,2.43,0.6041,0.78,344.28,225.61,351.19
"2010 EE43",,24.30,1.414,0.2403,2.71,11.94,176.98,109.40
"2010 EF43",,26.40,2.023,0.5897,3.85,174.17,61.25,345.24
"2010 EG43",,24.90,1.781,0.3890,7.66,352.89,159.44,10.40
"2010 EJ43",,21.08,1.148,0.4608,6.65,26.70,21.53,350.58
"2010 EK43",,21.67,1.398,0.6536,7.88,18.38,38.61,218.11
"2010 EF44",,20.17,2.187,0.8883,38.00,173.64,235.15,321.03
"2010 EK44",,19.79,2.841,0.7718,11.25,180.47,107.98,81.56
"2010 EN44",,24.12,1.179,0.1900,10.89,14.59,208.25,327.57
"2010 EZ45",,22.60,1.529,0.2750,8.36,12.08,166.24,107.72
"2010 EA46",,23.68,2.869,0.6298,5.97,156.03,345.91,104.80
"2010 EC135",,20.26,2.235,0.4833,5.08,152.31,112.57,224.61
"2010 EF181",,19.48,2.186,0.4066,23.54,160.30,233.87,348.47
"2010 FB",,23.80,1.194,0.2860,24.19,172.10,276.67,55.50
"2010 FC",,24.00,1.33,0.2402,7.04,155.73,62.47,56.36
"2010 FD",,26.10,2.804,0.6544,0.03,126.33,59.94,81.87
"2010 FK",,23.80,0.9401,0.0973,12.67,173.43,166.12,274.30
"2010 FM",,27.10,0.8176,0.2702,7.75,175.26,202.35,220.73
"2010 FN",,26.60,0.9898,0.2111,0.12,161.66,125.97,244.03
"2010 FO",,24.01,1.618,0.3325,1.27,163.98,4.78,225.64
"2010 FQ",,19.99,1.527,0.3563,10.56,140.42,359.53,125.26
"2010 FS",,24.20,0.78,0.3175,9.12,169.74,206.30,148.24
"2010 FT",,25.70,1.09,0.1946,5.60,13.77,246.22,219.60
"2010 FU",,24.70,1.723,0.4094,10.80,5.65,159.33,6.86
"2010 FA6",,24.20,1.801,0.4080,7.85,356.78,230.30,341.10
"2010 FB6",,22.00,1.297,0.1864,25.50,2.94,49.67,329.66
"2010 FD6",,26.80,1.446,0.4352,0.46,152.04,314.57,31.40
"2010 FD7",,22.10,2.569,0.6944,6.21,352.20,274.78,260.15
"2010 FE7",,23.80,1.949,0.5532,1.55,57.19,43.22,296.34
"2010 FF8",,16.59,1.763,0.2703,27.29,259.97,48.04,171.07
"2010 FP9",,23.60,1.564,0.2505,6.29,1.79,187.22,359.77
"2010 FQ9",,22.95,2.053,0.3929,1.46,42.44,134.30,119.47
"2010 FR9",,26.10,1.579,0.3813,5.71,2.26,214.27,304.01
"2010 FS9",,24.90,2.574,0.6013,3.04,6.31,193.42,356.55
"2010 FT9",,24.30,2.81,0.6396,3.39,12.01,132.13,7.49
"2010 FU9",,26.90,2.202,0.5829,2.67,175.12,323.69,295.52
"2010 FV9",,25.40,1.148,0.2874,0.64,30.46,64.85,325.96
"2010 FW9",,26.70,1.642,0.4326,3.77,4.23,220.60,342.93
"2010 FX9",,24.06,1.131,0.3670,3.77,9.82,75.38,64.78
"2010 FY9",,26.96,0.8898,0.1508,4.16,356.45,336.65,60.07
"2010 FA10",,26.00,1.538,0.3961,10.59,1.71,134.82,94.45
"2010 FB10",,22.20,0.9679,0.5138,13.72,176.08,212.56,112.55
"2010 FF10",,21.80,2.38,0.6317,5.08,166.08,105.34,76.35
"2010 FO28",,20.11,1.851,0.3162,9.98,183.54,290.03,118.22
"2010 FL48",,22.11,1.188,0.0689,27.00,177.51,53.69,347.03
"2010 FX80",,20.30,2.169,0.4540,36.97,129.19,88.92,296.83
"2010 FY80",,19.56,2.693,0.6126,18.81,164.42,45.76,183.17
"2010 FZ80",,20.33,2.751,0.7441,27.34,267.76,347.38,134.83
"2010 FA81",,22.42,1.195,0.1519,15.48,47.78,140.84,351.24
"2010 FB81",,21.36,2.567,0.6090,9.46,90.69,46.55,289.27
"2010 FC81",,21.91,2.677,0.6232,1.68,144.31,63.60,200.62
"2010 FG81",,23.05,1.658,0.3930,7.97,344.07,191.41,118.70
"2010 FJ81",,20.48,3.609,0.6817,42.42,97.33,171.77,96.91
"2010 FO92",,20.05,2.144,0.5194,6.76,163.85,125.04,316.99
"2010 FY103",,19.70,1.68,0.4412,29.53,109.70,123.63,42.15
"2010 GU5",,24.59,2.383,0.5467,6.37,19.08,168.60,94.58
"2010 GZ5",,22.96,1.435,0.5859,6.12,186.48,123.02,355.09
"2010 GA6",,26.00,2.306,0.5979,9.75,197.62,34.32,155.48
"2010 GB6",,22.07,0.8821,0.2449,35.31,195.13,187.96,111.59
"2010 GC6",,21.47,1.725,0.3773,29.11,4.51,238.19,300.45
"2010 GD6",,23.80,1.034,0.0587,21.24,189.15,294.73,67.31
"2010 GT6",,21.40,1.495,0.5920,10.07,8.15,303.48,153.06
"2010 GU6",,20.69,2.695,0.6799,10.13,191.27,88.99,181.99
"2010 GA7",,21.27,0.9126,0.3891,30.00,21.50,25.51,86.97
"2010 GF7",,25.90,1.683,0.4503,3.71,24.67,215.38,40.80
"2010 GG7",,21.75,1.783,0.3356,13.14,122.82,98.06,191.43
"2010 GH7",,27.35,1.4,0.2997,3.52,191.83,335.83,163.68
"2010 GS7",,21.51,2.696,0.6578,9.10,190.71,57.21,178.22
"2010 GT7",,20.19,2.733,0.6784,8.43,65.07,68.80,182.33
"2010 GT21",,20.83,1.453,0.1793,18.52,40.95,186.14,285.45
"2010 GU21",,21.14,2.18,0.5639,3.16,56.98,201.60,289.32
"2010 GK23",,19.70,2.749,0.6828,35.00,141.53,342.80,11.85
"2010 GL23",,22.80,1.155,0.3658,7.20,214.09,237.75,276.80
"2010 GM23",,24.82,1.317,0.4426,4.36,205.03,81.07,321.32
"2010 GV23",,27.60,0.9294,0.2029,3.62,198.45,233.88,259.79
"2010 GW23",,24.00,1.685,0.5281,4.50,193.39,284.02,29.59
"2010 GX23",,23.00,1.483,0.4512,1.91,116.66,6.07,265.20
"2010 GY23",,25.23,1.495,0.2940,5.11,190.22,347.23,206.36
"2010 GD25",,26.40,1.811,0.4808,4.10,196.53,313.93,17.27
"2010 GF25",,19.30,1.422,0.7366,38.50,323.32,339.26,44.63
"2010 GE30",,23.70,1.574,0.2797,7.90,15.56,175.62,327.53
"2010 GF30",,21.60,2.801,0.5713,23.39,192.59,344.80,104.04
"2010 GH30",,20.80,1.7,0.2918,18.25,180.65,60.28,353.70
"2010 GJ30",,24.60,1.477,0.2625,20.88,25.70,192.16,351.66
"2010 GO33",,19.27,2.41,0.6981,19.12,143.59,153.56,40.31
"2010 GP33",,25.80,1.524,0.3573,5.42,20.92,218.32,90.20
"2010 GQ33",,25.90,1.832,0.4470,2.63,205.17,312.64,17.08
"2010 GR33",,22.60,1.579,0.4439,7.14,158.18,340.87,338.59
"2010 GZ33",,22.40,1.914,0.4226,5.18,194.00,76.49,290.50
"2010 GA34",,22.50,1.458,0.2985,4.29,96.96,133.03,297.34
"2010 GC35",,24.66,1.213,0.1274,8.50,195.21,2.78,252.65
"2010 GD35",,24.62,0.7644,0.4812,7.82,24.99,13.96,272.84
"2010 GE35",,23.02,2.227,0.6164,5.33,33.36,234.48,238.22
"2010 GJ65",,21.10,1.441,0.3739,17.77,21.69,275.85,313.21
"2010 GK65",,24.50,0.9225,0.4428,0.58,348.23,82.79,306.39
"2010 GL65",,25.30,1.914,0.4864,3.40,203.34,329.12,11.80
"2010 GM65",,22.40,1.495,0.5661,25.12,202.19,261.76,41.52
"2010 GN67",,22.18,1.339,0.3397,18.81,209.42,252.05,88.09
"2010 GO67",,25.00,1.473,0.7423,5.22,200.93,128.36,331.18
"2010 GP67",,22.36,1.114,0.1074,13.27,211.42,44.72,64.68
"2010 GQ75",,20.20,2.443,0.8603,43.30,82.41,353.36,49.76
"2010 GV147",,18.27,0.9588,0.6602,44.05,295.08,97.90,92.20
"2010 HA",,23.90,0.9599,0.1958,2.18,251.12,186.12,321.99
"2010 HC",,21.30,2.126,0.5229,6.87,20.45,246.86,347.57
"2010 HF",,26.20,1.626,0.3794,1.19,215.73,349.03,187.89
"2010 HG20",,21.40,1.138,0.2323,17.54,52.97,42.30,37.51
"2010 HP20",,27.53,1.997,0.5355,7.72,209.09,320.89,10.82
"2010 HS20",,23.34,2.212,0.5517,2.22,99.61,159.18,257.80
"2010 HV20",,21.93,2.611,0.7883,6.45,99.04,216.27,347.64
"2010 HW20",,26.10,1.011,0.0501,8.18,39.20,60.43,227.46
"2010 HY22",,16.73,3.655,0.7239,44.13,19.21,343.28,130.11
"2010 HD33",,18.33,2.62,0.5149,24.41,165.03,50.37,232.78
"2010 HW81",,20.26,1.261,0.7544,13.48,228.63,95.34,316.20
"2010 HY103",,23.97,2.703,0.6101,0.52,214.10,25.30,173.27
"2010 HZ104",,22.50,2.251,0.5659,20.23,77.43,165.53,213.27
"2010 HX107",,23.54,0.8014,0.3004,3.36,51.56,352.97,56.87
"2010 JA",,27.00,1.216,0.2932,2.52,222.23,75.02,173.03
"2010 JE",,20.27,2.784,0.6560,13.81,229.91,65.57,111.53
"2010 JF",,19.27,1.666,0.3074,43.83,221.12,260.41,150.14
"2010 JG",,20.95,1.19,0.3198,23.31,49.72,292.02,269.26
"2010 JJ1",,25.61,2.388,0.5632,1.69,239.31,344.06,0.40
"2010 JK1",,24.40,1.029,0.1503,0.17,201.75,137.89,221.60
"2010 JL1",,25.50,0.9284,0.1929,20.66,43.54,40.91,259.14
"2010 JM1",,26.00,1.742,0.4039,6.92,46.93,171.82,276.79
"2010 JH3",,25.31,1.759,0.4708,19.78,47.37,226.27,343.74
"2010 JJ3",,23.70,2.23,0.5804,2.43,234.12,298.17,251.07
"2010 JP15",,18.86,2.786,0.5798,40.74,309.13,162.14,341.11
"2010 JK33",,21.03,2.231,0.6110,4.04,28.46,289.91,212.73
"2010 JM33",,26.50,1.808,0.4605,5.50,42.46,228.37,343.84
"2010 JN33",,20.50,1.555,0.2878,53.14,199.90,64.84,352.57
"2010 JO33",,25.00,2.512,0.5931,3.73,227.75,7.53,319.43
"2010 JR34",,27.70,0.9595,0.1447,0.72,36.83,316.09,81.64
"2010 JS34",,20.77,2.19,0.4875,25.37,36.34,262.60,331.91
"2010 JU34",,22.28,1.296,0.0635,29.22,223.82,78.07,122.38
"2010 JV34",,20.85,1.723,0.5445,7.21,225.29,87.04,285.82
"2010 JW34",,28.10,0.9813,0.0547,2.26,49.79,43.72,122.03
"2010 JA35",,20.49,2.159,0.5763,29.02,48.37,278.00,290.41
"2010 JT39",,23.76,1.202,0.2080,5.05,35.84,283.70,212.43
"2010 JV39",,23.60,1.909,0.4412,4.84,121.19,87.66,327.54
"2010 JW39",,24.63,1.637,0.3902,3.00,157.74,36.87,164.09
"2010 JJ41",,21.83,1.069,0.6686,3.21,50.64,28.90,91.03
"2010 JK41",,20.14,2.751,0.5640,25.48,72.03,144.48,146.82
"2010 JL41",,20.64,1.727,0.6658,7.57,166.74,164.96,278.51
"2010 JM41",,21.05,1.197,0.4013,20.38,198.46,158.27,239.12
"2010 JN71",,21.42,2.381,0.5903,17.74,62.40,185.58,73.10
"2010 JO71",,23.98,1.172,0.3867,6.01,219.80,119.19,25.60
"2010 JL77",,24.20,2.043,0.4745,4.62,218.97,28.36,106.94
"2010 JG80",,23.89,1.36,0.1740,24.82,224.29,359.62,3.58
"2010 JH80",,24.60,2.088,0.7786,21.67,228.24,252.70,17.49
"2010 JF87",,19.12,2.437,0.6205,24.92,138.94,12.06,44.86
"2010 JG87",,19.20,2.77,0.9467,16.75,204.48,269.44,145.33
"2010 JH87",,19.50,1.537,0.5402,43.76,113.06,222.79,9.80
"2010 JE88",,21.50,2.109,0.7640,10.73,224.59,260.24,40.06
"2010 JH88",,18.09,2.29,0.7889,21.44,102.37,355.79,191.00
"2010 JL88",,26.80,1.425,0.5039,0.09,266.92,53.36,16.19
"2010 JH110",,26.30,2.333,0.5668,0.74,72.46,165.36,123.20
"2010 JV153",,19.59,2.226,0.4723,5.95,129.87,185.25,210.28
"2010 KC",,24.18,0.7819,0.6071,2.21,94.34,297.24,46.64
"2010 KD",,22.00,1.354,0.2176,17.24,79.62,91.46,348.67
"2010 KE",,26.70,1.297,0.2452,5.24,56.35,225.00,152.66
"2010 KH",,19.48,2.767,0.5477,14.57,85.19,273.56,113.82
"2010 KU7",,22.24,1.665,0.3812,6.75,39.37,216.08,65.68
"2010 KV7",,26.00,1.214,0.2185,0.31,255.92,36.86,322.44
"2010 KA8",,21.40,1.62,0.4339,10.12,246.31,277.28,218.24
"2010 KB8",,24.00,1.375,0.8269,1.89,73.61,301.44,331.69
"2010 KO10",,27.09,1.956,0.5289,8.11,61.70,222.89,227.97
"2010 KP10",,23.10,1.132,0.1662,16.20,233.29,276.43,30.99
"2010 KQ10",,21.64,2.384,0.6622,6.70,243.84,287.77,99.81
"2010 KR10",,19.50,2.168,0.5863,1.05,94.46,232.99,288.71
"2010 KU10",,19.52,1.652,0.4241,47.21,221.83,102.75,55.95
"2010 KJ37",,23.93,1.127,0.0896,10.84,236.10,86.65,269.85
"2010 KK37",,25.70,1.539,0.4315,9.10,239.03,303.74,48.75
"2010 KV39",,26.80,0.959,0.2557,13.92,65.38,296.67,93.90
"2010 KY39",,20.11,1.74,0.3986,25.51,187.55,93.37,258.33
"2010 KB61",,20.41,1.275,0.2339,44.59,55.93,234.97,229.22
"2010 KL66",,19.81,2.402,0.5340,7.94,150.23,80.83,66.54
"2010 KK127",,20.70,2.229,0.4258,6.97,182.34,158.06,214.18
"2010 KD149",,21.48,0.8889,0.2118,14.23,324.42,131.06,315.37
"2010 LF",,24.10,2.052,0.4831,9.73,80.28,155.89,5.28
"2010 LF14",,23.70,2.067,0.4731,1.63,256.26,346.23,72.17
"2010 LH14",,22.08,2.198,0.5763,4.66,206.84,80.96,257.62
"2010 LQ33",,19.56,2.269,0.4597,24.65,246.22,342.85,185.35
"2010 LK34",,21.91,1.829,0.8073,5.32,130.06,249.31,64.27
"2010 LM34",,23.30,2.725,0.6045,24.40,255.12,12.90,358.94
"2010 LJ61",,21.00,1.046,0.4595,9.80,70.83,48.37,229.87
"2010 LK61",,21.79,1.667,0.5781,22.73,231.04,298.44,93.36
"2010 LZ63",,20.20,1.89,0.7609,13.87,306.98,79.58,315.41
"2010 LA64",,23.38,1.247,0.1899,20.26,259.98,293.14,81.08
"2010 LB64",,21.76,1.353,0.2153,51.68,85.67,197.46,279.74
"2010 LC64",,24.60,2.009,0.5526,4.45,84.00,119.55,16.07
"2010 LD64",,25.50,2.361,0.5407,2.03,103.26,142.35,4.40
"2010 LG64",,20.23,2.678,0.6049,42.10,8.69,356.12,169.63
"2010 LE68",,25.90,1.412,0.2875,11.91,262.42,36.14,55.15
"2010 LJ68",,22.70,1.769,0.4530,17.11,164.19,36.97,19.70
"2010 LK68",,22.42,1.169,0.4736,21.92,268.62,261.65,54.42
"2010 LL68",,22.88,2.071,0.5247,10.49,192.31,98.78,52.57
"2010 LM68",,20.74,1.061,0.2612,12.27,232.68,137.53,326.88
"2010 LO97",,18.76,2.577,0.5284,21.70,43.48,3.64,229.86
"2010 LU108",,19.95,2.229,0.8231,9.46,154.03,22.62,235.19
"2010 LV108",,22.36,2.777,0.6359,5.41,248.59,350.88,125.33
"2010 LU134",,19.31,1.897,0.5457,27.36,345.72,359.40,304.38
"2010 LE152",,20.55,1.696,0.4271,22.06,71.80,125.23,16.23
"2010 MA",,25.70,0.8436,0.3481,14.09,87.38,32.12,84.58
